measured matmul throughput: 6.35TFLOP/s
model: 984.32K params (853.12K non-embedding) | device mps | amp none
batch 32 x accum 1 x block 256 = 8.19K tokens/step
step     0 | loss 6.9236 | lr 1.00e-05 | gnorm  1.283 |    21.8k tok/s | mfu  2.3%
step   549 | loss 3.2838 | lr 7.90e-04 | gnorm  0.604 |   122.0k tok/s | mfu 12.8%
step   559 | loss 3.3423 | lr 7.82e-04 | gnorm  0.611 |   121.9k tok/s | mfu 12.8%
step   569 | loss 3.2855 | lr 7.73e-04 | gnorm  0.607 |   122.1k tok/s | mfu 12.9%
step   579 | loss 3.2928 | lr 7.64e-04 | gnorm  0.595 |   122.2k tok/s | mfu 12.9%
step   589 | loss 3.2466 | lr 7.55e-04 | gnorm  0.595 |   122.3k tok/s | mfu 12.9%
step   599 | loss 3.2866 | lr 7.46e-04 | gnorm  0.666 |   122.1k tok/s | mfu 12.9%
  eval @ 600: val_loss 3.3748 ppl 29.22
step   609 | loss 3.2035 | lr 7.37e-04 | gnorm  0.587 |   122.3k tok/s | mfu 12.9%
step   619 | loss 3.3073 | lr 7.28e-04 | gnorm  0.613 |   122.3k tok/s | mfu 12.9%
step   629 | loss 3.2753 | lr 7.18e-04 | gnorm  0.627 |   122.3k tok/s | mfu 12.9%
step   639 | loss 3.2571 | lr 7.09e-04 | gnorm  0.598 |   122.3k tok/s | mfu 12.9%
step   649 | loss 3.1569 | lr 7.00e-04 | gnorm  0.618 |   121.7k tok/s | mfu 12.8%
step   659 | loss 3.2187 | lr 6.90e-04 | gnorm  0.634 |   122.7k tok/s | mfu 12.9%
step   669 | loss 3.0756 | lr 6.80e-04 | gnorm  0.597 |   122.6k tok/s | mfu 12.9%
step   679 | loss 3.2056 | lr 6.71e-04 | gnorm  0.634 |   122.8k tok/s | mfu 12.9%
step   689 | loss 3.1765 | lr 6.61e-04 | gnorm  0.621 |   121.1k tok/s | mfu 12.7%
step   699 | loss 3.2105 | lr 6.51e-04 | gnorm  0.631 |   123.6k tok/s | mfu 13.0%
  eval @ 700: val_loss 3.3381 ppl 28.16
step   709 | loss 3.1427 | lr 6.41e-04 | gnorm  0.650 |   123.3k tok/s | mfu 13.0%
step   719 | loss 3.0798 | lr 6.31e-04 | gnorm  0.639 |   122.4k tok/s | mfu 12.9%
step   729 | loss 3.0306 | lr 6.21e-04 | gnorm  0.630 |   123.7k tok/s | mfu 13.0%
step   739 | loss 3.2417 | lr 6.11e-04 | gnorm  0.654 |   123.4k tok/s | mfu 13.0%
step   749 | loss 3.1379 | lr 6.01e-04 | gnorm  0.655 |   123.0k tok/s | mfu 12.9%
step   759 | loss 3.0980 | lr 5.91e-04 | gnorm  0.644 |   123.2k tok/s | mfu 13.0%
step   769 | loss 3.1155 | lr 5.81e-04 | gnorm  0.640 |   122.5k tok/s | mfu 12.9%
step   779 | loss 3.1110 | lr 5.71e-04 | gnorm  0.644 |   122.9k tok/s | mfu 12.9%
step   789 | loss 3.1240 | lr 5.61e-04 | gnorm  0.658 |   123.0k tok/s | mfu 12.9%
step   799 | loss 3.1205 | lr 5.51e-04 | gnorm  0.632 |   122.7k tok/s | mfu 12.9%
  eval @ 800: val_loss 3.3157 ppl 27.54
step   809 | loss 3.0912 | lr 5.41e-04 | gnorm  0.658 |   123.3k tok/s | mfu 13.0%
step   819 | loss 3.0695 | lr 5.31e-04 | gnorm  0.657 |   122.7k tok/s | mfu 12.9%
step   829 | loss 3.2116 | lr 5.21e-04 | gnorm  0.649 |   122.6k tok/s | mfu 12.9%
step   839 | loss 3.1291 | lr 5.11e-04 | gnorm  0.664 |   122.8k tok/s | mfu 12.9%
step   849 | loss 3.1023 | lr 5.01e-04 | gnorm  0.624 |   122.4k tok/s | mfu 12.9%
step   859 | loss 3.1361 | lr 4.91e-04 | gnorm  0.652 |   123.1k tok/s | mfu 13.0%
step   869 | loss 3.1283 | lr 4.81e-04 | gnorm  0.684 |   123.7k tok/s | mfu 13.0%
step   879 | loss 3.0813 | lr 4.71e-04 | gnorm  0.686 |   121.8k tok/s | mfu 12.8%
step   889 | loss 3.1126 | lr 4.61e-04 | gnorm  0.642 |   123.7k tok/s | mfu 13.0%
step   899 | loss 3.1184 | lr 4.51e-04 | gnorm  0.672 |   123.5k tok/s | mfu 13.0%
  eval @ 900: val_loss 3.3090 ppl 27.36
step   909 | loss 3.1787 | lr 4.41e-04 | gnorm  0.695 |   123.2k tok/s | mfu 13.0%
step   919 | loss 3.0341 | lr 4.31e-04 | gnorm  0.654 |   123.7k tok/s | mfu 13.0%
step   929 | loss 2.9624 | lr 4.22e-04 | gnorm  0.636 |   124.0k tok/s | mfu 13.1%
step   939 | loss 3.0115 | lr 4.12e-04 | gnorm  0.668 |   122.4k tok/s | mfu 12.9%
step   949 | loss 3.0331 | lr 4.02e-04 | gnorm  0.688 |   123.9k tok/s | mfu 13.0%
step   959 | loss 2.9994 | lr 3.93e-04 | gnorm  0.672 |   123.9k tok/s | mfu 13.0%
